id,type
2816092,bus_stop
6469059,bus_stop
6527735,bus_stop
6527735,tertiary
6527736,tertiary
11792235,tertiary
11792238,tertiary
11792440,tertiary
11792441,tertiary
11792795,tertiary
11792795,residential
11833247,residential
11833247,tertiary
11833248,tertiary
11833249,tertiary
11833250,tertiary
11833251,tertiary
11833251,residential
11833252,residential
11833252,tertiary
11833253,tertiary
11833254,tertiary
11833255,tertiary
11833255,residential
11833256,residential
11833258,residential
11833258,living_street
11833263,living_street
11833269,living_street
11833271,living_street
11833273,living_street
11833275,living_street
11833275,residential
11833276,residential
11833276,tertiary
11833277,tertiary
11833277,residential
11833280,residential
11833281,residential
11833281,tertiary
11833283,tertiary
11833283,residential
11833283,tertiary
11833283,residential
11833285,residential
11833286,residential
11833288,residential
11833288,living_street
11833288,residential
11833289,residential
11833290,residential
11833291,residential
11833293,residential
11833293,living_street
11833293,residential
11833294,residential
11833294,tertiary
11833296,tertiary
11833298,tertiary
11833298,residential
11833299,residential
11833299,tertiary
11833301,tertiary
11833301,residential
11833302,residential
11833305,residential
11833310,residential
11833311,residential
11833311,living_street
11833312,living_street
11833312,residential
11833317,residential
11833317,living_street
11833318,living_street
11833318,residential
11833321,residential
11833322,residential
11835706,residential
11835706,tertiary
11835709,tertiary
11835709,residential
11835710,residential
11835710,living_street
11835711,living_street
11835712,living_street
11835712,tertiary
11835712,living_street
11835713,living_street
11835713,tertiary
11835714,tertiary
11835714,living_street
11835715,living_street
11835716,living_street
11835716,residential
11835716,living_street
11835717,living_street
11835718,living_street
11835719,living_street
11835720,living_street
11835721,living_street
11835722,living_street
11835723,living_street
11835723,tertiary
11835723,living_street
11835724,living_street
11835725,living_street
11835726,living_street
11835726,tertiary
11835727,tertiary
11835727,living_street
11835728,living_street
11835729,living_street
11835730,living_street
11835731,living_street
11835731,tertiary
11835732,tertiary
11835732,residential
11835732,tertiary
11835733,tertiary
11835733,living_street
11835734,living_street
11835734,residential
11835734,living_street
11835734,tertiary
11835734,living_street
11835735,living_street
11835735,tertiary
11835735,living_street
11835736,living_street
11835737,living_street
11835737,tertiary
11835737,living_street
11835738,living_street
11835739,living_street
11835739,tertiary
11835739,living_street
11835740,living_street
11835740,residential
11835740,living_street
11835741,living_street
11835742,living_street
11835743,living_street
11835743,tertiary
11835744,tertiary
11835744,living_street
11835744,tertiary
11835745,tertiary
11835745,living_street
11835747,living_street
11835748,living_street
11835748,tertiary
11835748,living_street
11835748,tertiary
11835749,tertiary
11835749,living_street
11835749,residential
11835749,tertiary
11835750,tertiary
11835750,living_street
11835750,tertiary
11835750,living_street
11835750,tertiary
11835750,living_street
11835751,living_street
11835751,tertiary
11835751,residential
11835751,tertiary
11835751,living_street
11835752,living_street
11835752,tertiary
11835752,living_street
11835753,living_street
11835753,tertiary
11835753,residential
11835754,residential
11835754,living_street
11835754,tertiary
11835755,tertiary
11835755,living_street
11835756,living_street
11835756,tertiary
11835756,residential
11835757,residential
11835757,living_street
11835758,living_street
11835758,residential
11835758,tertiary
11835759,tertiary
11835760,tertiary
11835760,living_street
11835761,living_street
11835761,residential
11835762,residential
11836248,residential
11836248,living_street
11836249,living_street
11836250,living_street
11836253,living_street
11836255,living_street
11836262,living_street
11836831,living_street
11836831,tertiary
11837994,tertiary
11837994,living_street
11837994,residential
11837994,living_street
11837994,residential
11837995,residential
11837995,tertiary
11837996,tertiary
11837996,living_street
11837997,living_street
11837998,living_street
11837999,living_street
11838000,living_street
11838001,living_street
11838002,living_street
11838003,living_street
11838004,living_street
11838005,living_street
11838006,living_street
11838007,living_street
11838008,living_street
11838009,living_street
11838010,living_street
11838011,living_street
11838012,living_street
11838013,living_street
11838014,living_street
11838015,living_street
