id,type
2816092,bus_stop
4388907,bus_stop
6469059,bus_stop
6527735,bus_stop
6527735,tertiary
6527736,tertiary
11792235,tertiary
11792238,tertiary
11792440,tertiary
11792441,tertiary
11792795,tertiary
11792795,residential
11792796,residential
11792796,trunk_link
11822798,trunk_link
11822798,trunk
11822799,trunk
11822800,trunk
11822801,trunk
11824680,trunk
11825245,trunk
11825246,trunk
11833246,trunk
11833246,residential
11833247,residential
11833247,tertiary
11833248,tertiary
11833249,tertiary
11833250,tertiary
11833251,tertiary
11833251,residential
11833252,residential
11833252,living_street
11833252,tertiary
11833253,tertiary
11833254,tertiary
11833255,tertiary
11833255,residential
11833256,residential
11833257,residential
11833257,living_street
11833258,living_street
11833260,living_street
11833263,living_street
11833264,living_street
11833265,living_street
11833266,living_street
11833269,living_street
11833270,living_street
11833271,living_street
11833273,living_street
11833274,living_street
11833275,living_street
11833275,residential
11833276,residential
11833276,tertiary
11833277,tertiary
11833277,residential
11833280,residential
11833281,residential
11833281,tertiary
11833283,tertiary
11833283,residential
11833283,tertiary
11833283,residential
11833285,residential
11833286,residential
11833286,living_street
11833286,residential
11833288,residential
11833288,living_street
11833288,residential
11833289,residential
11833290,residential
11833290,living_street
11833290,residential
11833291,residential
11833293,residential
11833293,living_street
11833293,residential
11833294,residential
11833294,tertiary
11833296,tertiary
11833298,tertiary
11833298,residential
11833299,residential
11833299,tertiary
11833301,tertiary
11833301,residential
11833302,residential
11833304,residential
11833304,living_street
11833305,living_street
11833305,residential
11833309,residential
11833309,living_street
11833310,living_street
11833310,residential
11833311,residential
11833311,living_street
11833312,living_street
11833312,residential
11833314,residential
11833314,living_street
11833315,living_street
11833317,living_street
11833318,living_street
11833318,residential
11833321,residential
11833321,living_street
11833321,tertiary
11833321,residential
11833322,residential
11833322,tertiary
11833322,residential
11833323,residential
11833330,residential
11833631,residential
11833631,living_street
11833633,living_street
11835706,living_street
11835706,tertiary
11835708,tertiary
11835708,residential
11835709,residential
11835710,residential
11835710,living_street
11835711,living_street
11835712,living_street
11835712,tertiary
11835712,living_street
11835712,tertiary
11835712,residential
11835713,residential
11835713,tertiary
11835714,tertiary
11835714,living_street
11835715,living_street
11835716,living_street
11835716,residential
11835716,living_street
11835717,living_street
11835718,living_street
11835719,living_street
11835719,residential
11835720,residential
11835720,living_street
11835721,living_street
11835722,living_street
11835723,living_street
11835723,tertiary
11835723,residential
11835723,living_street
11835724,living_street
11835725,living_street
11835726,living_street
11835726,tertiary
11835727,tertiary
11835727,living_street
11835728,living_street
11835729,living_street
11835729,tertiary
11835729,living_street
11835730,living_street
11835731,living_street
11835731,tertiary
11835732,tertiary
11835732,residential
11835732,tertiary
11835733,tertiary
11835733,residential
11835733,living_street
11835734,living_street
11835734,residential
11835734,living_street
11835734,tertiary
11835734,living_street
11835735,living_street
11835735,tertiary
11835735,living_street
11835736,living_street
11835737,living_street
11835737,residential
11835737,living_street
11835737,tertiary
11835737,living_street
11835738,living_street
11835739,living_street
11835739,tertiary
11835739,living_street
11835740,living_street
11835740,residential
11835740,living_street
11835741,living_street
11835741,residential
11835741,living_street
11835742,living_street
11835743,living_street
11835743,residential
11835743,tertiary
11835744,tertiary
11835744,living_street
11835744,tertiary
11835745,tertiary
11835745,residential
11835745,living_street
11835746,living_street
11835746,residential
11835746,living_street
11835747,living_street
11835748,living_street
11835748,tertiary
11835748,living_street
11835748,tertiary
11835748,residential
11835748,tertiary
11835749,tertiary
11835749,living_street
11835749,residential
11835749,living_street
11835749,tertiary
11835750,tertiary
11835750,living_street
11835750,tertiary
11835750,living_street
11835750,tertiary
11835750,living_street
11835750,tertiary
11835751,tertiary
11835751,residential
11835751,living_street
11835751,residential
11835751,tertiary
11835751,living_street
11835752,living_street
11835752,tertiary
11835752,living_street
11835753,living_street
11835753,tertiary
11835753,residential
11835754,residential
11835754,living_street
11835754,tertiary
11835754,living_street
11835754,tertiary
11835754,living_street
11835755,living_street
11835755,residential
11835755,living_street
11835755,residential
11835755,tertiary
11835756,tertiary
11835756,residential
11835756,tertiary
11835756,residential
11835756,living_street
11835756,tertiary
11835757,tertiary
11835757,residential
11835757,living_street
11835757,residential
11835757,living_street
11835758,living_street
11835758,residential
11835758,tertiary
11835758,residential
11835759,residential
11835759,tertiary
11835759,residential
11835760,residential
11835760,living_street
11835760,residential
11835760,living_street
11835761,living_street
11835761,residential
11835762,residential
11835762,living_street
11836246,living_street
11836247,living_street
11836248,living_street
11836249,living_street
11836250,living_street
11836251,living_street
11836253,living_street
11836255,living_street
11836256,living_street
11836257,living_street
11836260,living_street
11836262,living_street
11836263,living_street
11836811,living_street
11836812,living_street
11836813,living_street
11836814,living_street
11836815,living_street
11836816,living_street
11836817,living_street
11836818,living_street
11836819,living_street
11836820,living_street
